"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 02 09:05:53 GMT 2024","Mon Dec 02 09:05:57 GMT 2024","3662","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Mon Dec 02 09:05:17 GMT 2024","Mon Dec 02 09:05:37 GMT 2024","19303","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Mon Dec 02 09:05:51 GMT 2024","Mon Dec 02 09:05:53 GMT 2024","2161","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Mon Dec 02 09:05:41 GMT 2024","Mon Dec 02 09:05:43 GMT 2024","1366","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Mon Dec 02 09:05:43 GMT 2024","Mon Dec 02 09:05:45 GMT 2024","2382","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Mon Dec 02 09:05:37 GMT 2024","Mon Dec 02 09:05:38 GMT 2024","1201","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Mon Dec 02 09:05:45 GMT 2024","Mon Dec 02 09:05:48 GMT 2024","3380","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Mon Dec 02 09:05:38 GMT 2024","Mon Dec 02 09:05:41 GMT 2024","3491","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Mon Dec 02 09:05:48 GMT 2024","Mon Dec 02 09:05:51 GMT 2024","2807","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
