"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 07 09:04:52 GMT 2024","Thu Nov 07 09:04:52 GMT 2024","282","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"broken","Thu Nov 07 09:04:51 GMT 2024","Thu Nov 07 09:04:51 GMT 2024","300","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"broken","Thu Nov 07 09:04:50 GMT 2024","Thu Nov 07 09:04:51 GMT 2024","364","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"broken","Thu Nov 07 09:04:51 GMT 2024","Thu Nov 07 09:04:51 GMT 2024","276","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"broken","Thu Nov 07 09:04:52 GMT 2024","Thu Nov 07 09:04:52 GMT 2024","284","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"broken","Thu Nov 07 09:04:36 GMT 2024","Thu Nov 07 09:04:50 GMT 2024","14496","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"broken","Thu Nov 07 09:04:52 GMT 2024","Thu Nov 07 09:04:53 GMT 2024","289","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"broken","Thu Nov 07 09:04:51 GMT 2024","Thu Nov 07 09:04:51 GMT 2024","364","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"broken","Thu Nov 07 09:04:51 GMT 2024","Thu Nov 07 09:04:52 GMT 2024","291","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
