"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the number of items into the cart ","2193","Remove cart items test","","2026-06-25","passed","2026-06-25","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
"Verification of the persistence of the items cart ","1830","Cart items persistence test","","2026-06-25","passed","2026-06-25","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"Verification of the error messages for a blocked user","15690","Login locked out user test","","2026-06-25","passed","2026-06-25","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the user information before checkout","2598","Verify checkout user data test","","2026-06-25","passed","2026-06-25","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the inventory filter issues","3426","Inventory filter issues test","","2026-06-25","passed","2026-06-25","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"A complete shopping flow","2773","Buy items test","","2026-06-25","passed","2026-06-25","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
"Verification of the inventory order options","1912","Order inventory items test","","2026-06-25","passed","2026-06-25","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"Verification of the error messages for a correct user and wrong password","1160","Login wrong password test","","2026-06-25","passed","2026-06-25","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
"Verification of the visual error of the inventory using a problem user","1269","Inventory items with src issues test","","2026-06-25","passed","2026-06-25","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
