"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 02 14:24:06 GMT 2025","Mon Jun 02 14:24:09 GMT 2025","3360","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Mon Jun 02 14:23:58 GMT 2025","Mon Jun 02 14:24:02 GMT 2025","3600","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Mon Jun 02 14:23:57 GMT 2025","Mon Jun 02 14:23:58 GMT 2025","1286","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Mon Jun 02 14:24:02 GMT 2025","Mon Jun 02 14:24:03 GMT 2025","1487","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Mon Jun 02 14:24:12 GMT 2025","Mon Jun 02 14:24:15 GMT 2025","2342","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Mon Jun 02 14:23:54 GMT 2025","Mon Jun 02 14:23:57 GMT 2025","2736","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Mon Jun 02 14:24:09 GMT 2025","Mon Jun 02 14:24:12 GMT 2025","3065","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Mon Jun 02 14:24:03 GMT 2025","Mon Jun 02 14:24:06 GMT 2025","2556","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Mon Jun 02 14:24:15 GMT 2025","Mon Jun 02 14:24:19 GMT 2025","3807","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
