"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the user information before checkout","2766","Verify checkout user data test","","2026-09-07","passed","2026-09-07","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"A complete shopping flow","3022","Buy items test","","2026-09-07","passed","2026-09-07","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
"Verification of the number of items into the cart ","2390","Remove cart items test","","2026-09-07","passed","2026-09-07","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
"Verification of the error messages for a blocked user","3008","Login locked out user test","","2026-09-07","passed","2026-09-07","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the visual error of the inventory using a problem user","1557","Inventory items with src issues test","","2026-09-07","passed","2026-09-07","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
"Verification of the persistence of the items cart ","2070","Cart items persistence test","","2026-09-07","passed","2026-09-07","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"Verification of the inventory order options","2134","Order inventory items test","","2026-09-07","passed","2026-09-07","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"Verification of the error messages for a correct user and wrong password","1278","Login wrong password test","","2026-09-07","passed","2026-09-07","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
"Verification of the inventory filter issues","3560","Inventory filter issues test","","2026-09-07","passed","2026-09-07","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
