"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the error messages for a correct user and wrong password","1127","Login wrong password test","","Thu Apr 30 09:47:29 UTC 2026","passed","Thu Apr 30 09:47:30 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
"A complete shopping flow","7469","Buy items test","","Thu Apr 30 09:47:43 UTC 2026","broken","Thu Apr 30 09:47:50 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
"Verification of the user information before checkout","2501","Verify checkout user data test","","Thu Apr 30 09:47:36 UTC 2026","passed","Thu Apr 30 09:47:39 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the error messages for a blocked user","5051","Login locked out user test","","Thu Apr 30 09:47:24 UTC 2026","passed","Thu Apr 30 09:47:29 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the persistence of the items cart ","1890","Cart items persistence test","","Thu Apr 30 09:47:34 UTC 2026","passed","Thu Apr 30 09:47:36 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"Verification of the number of items into the cart ","2222","Remove cart items test","","Thu Apr 30 09:47:39 UTC 2026","passed","Thu Apr 30 09:47:41 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
"Verification of the inventory order options","1933","Order inventory items test","","Thu Apr 30 09:47:41 UTC 2026","passed","Thu Apr 30 09:47:43 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"Verification of the inventory filter issues","3237","Inventory filter issues test","","Thu Apr 30 09:47:30 UTC 2026","passed","Thu Apr 30 09:47:33 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"Verification of the visual error of the inventory using a problem user","1294","Inventory items with src issues test","","Thu Apr 30 09:47:33 UTC 2026","passed","Thu Apr 30 09:47:34 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
