"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the inventory filter issues","3393","Inventory filter issues test","","2026-06-11","passed","2026-06-11","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"Verification of the error messages for a blocked user","2563","Login locked out user test","","2026-06-11","passed","2026-06-11","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the user information before checkout","2463","Verify checkout user data test","","2026-06-11","passed","2026-06-11","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the inventory order options","1935","Order inventory items test","","2026-06-11","passed","2026-06-11","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"Verification of the error messages for a correct user and wrong password","1103","Login wrong password test","","2026-06-11","passed","2026-06-11","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
"Verification of the visual error of the inventory using a problem user","1262","Inventory items with src issues test","","2026-06-11","passed","2026-06-11","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
"Verification of the number of items into the cart ","2174","Remove cart items test","","2026-06-11","passed","2026-06-11","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
"Verification of the persistence of the items cart ","1870","Cart items persistence test","","2026-06-11","passed","2026-06-11","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"A complete shopping flow","7443","Buy items test","","2026-06-11","broken","2026-06-11","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
