"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 17 19:37:00 GMT 2024","Sat Aug 17 19:37:02 GMT 2024","1186","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Sat Aug 17 19:36:50 GMT 2024","Sat Aug 17 19:36:52 GMT 2024","2022","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Sat Aug 17 19:36:58 GMT 2024","Sat Aug 17 19:36:59 GMT 2024","1489","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Sat Aug 17 19:36:57 GMT 2024","Sat Aug 17 19:36:58 GMT 2024","1054","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Sat Aug 17 19:36:56 GMT 2024","Sat Aug 17 19:36:57 GMT 2024","928","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Sat Aug 17 19:36:53 GMT 2024","Sat Aug 17 19:36:56 GMT 2024","2618","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Sat Aug 17 19:37:02 GMT 2024","Sat Aug 17 19:37:03 GMT 2024","1881","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Sat Aug 17 19:36:59 GMT 2024","Sat Aug 17 19:37:00 GMT 2024","1169","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Sat Aug 17 19:36:52 GMT 2024","Sat Aug 17 19:36:53 GMT 2024","777","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
