"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 10 09:06:40 GMT 2025","Thu Jul 10 09:06:42 GMT 2025","1825","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Thu Jul 10 09:06:34 GMT 2025","Thu Jul 10 09:06:35 GMT 2025","1928","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Thu Jul 10 09:06:32 GMT 2025","Thu Jul 10 09:06:34 GMT 2025","1310","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Thu Jul 10 09:06:38 GMT 2025","Thu Jul 10 09:06:40 GMT 2025","2231","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Thu Jul 10 09:06:28 GMT 2025","Thu Jul 10 09:06:29 GMT 2025","1193","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Thu Jul 10 09:06:29 GMT 2025","Thu Jul 10 09:06:32 GMT 2025","3364","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Thu Jul 10 09:06:35 GMT 2025","Thu Jul 10 09:06:38 GMT 2025","2582","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Thu Jul 10 09:06:19 GMT 2025","Thu Jul 10 09:06:28 GMT 2025","8365","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"broken","Thu Jul 10 09:06:42 GMT 2025","Thu Jul 10 09:06:50 GMT 2025","7516","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
