"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 23 09:04:54 GMT 2024","Mon Dec 23 09:04:56 GMT 2024","2587","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Mon Dec 23 09:05:13 GMT 2024","Mon Dec 23 09:05:16 GMT 2024","3574","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Mon Dec 23 09:05:04 GMT 2024","Mon Dec 23 09:05:08 GMT 2024","3127","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Mon Dec 23 09:04:56 GMT 2024","Mon Dec 23 09:04:57 GMT 2024","1191","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Mon Dec 23 09:05:10 GMT 2024","Mon Dec 23 09:05:13 GMT 2024","2161","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Mon Dec 23 09:04:57 GMT 2024","Mon Dec 23 09:05:01 GMT 2024","3277","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Mon Dec 23 09:05:08 GMT 2024","Mon Dec 23 09:05:10 GMT 2024","2814","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Mon Dec 23 09:05:01 GMT 2024","Mon Dec 23 09:05:02 GMT 2024","1352","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Mon Dec 23 09:05:02 GMT 2024","Mon Dec 23 09:05:04 GMT 2024","2346","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
