"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 19 09:05:08 GMT 2024","Thu Dec 19 09:05:10 GMT 2024","2262","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Thu Dec 19 09:05:05 GMT 2024","Thu Dec 19 09:05:08 GMT 2024","2927","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Thu Dec 19 09:04:52 GMT 2024","Thu Dec 19 09:04:54 GMT 2024","1233","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Thu Dec 19 09:05:01 GMT 2024","Thu Dec 19 09:05:05 GMT 2024","3277","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Thu Dec 19 09:05:10 GMT 2024","Thu Dec 19 09:05:13 GMT 2024","3691","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Thu Dec 19 09:04:57 GMT 2024","Thu Dec 19 09:04:59 GMT 2024","1479","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Thu Dec 19 09:04:54 GMT 2024","Thu Dec 19 09:04:57 GMT 2024","3747","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Thu Dec 19 09:04:59 GMT 2024","Thu Dec 19 09:05:01 GMT 2024","2481","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Thu Dec 19 09:04:43 GMT 2024","Thu Dec 19 09:04:52 GMT 2024","9651","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
