"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Nov 18 09:05:15 GMT 2024","Mon Nov 18 09:05:28 GMT 2024","12386","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"broken","Mon Nov 18 09:05:28 GMT 2024","Mon Nov 18 09:05:28 GMT 2024","479","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"broken","Mon Nov 18 09:05:29 GMT 2024","Mon Nov 18 09:05:29 GMT 2024","276","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"broken","Mon Nov 18 09:05:29 GMT 2024","Mon Nov 18 09:05:29 GMT 2024","316","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"broken","Mon Nov 18 09:05:29 GMT 2024","Mon Nov 18 09:05:30 GMT 2024","292","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"broken","Mon Nov 18 09:05:29 GMT 2024","Mon Nov 18 09:05:29 GMT 2024","290","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"broken","Mon Nov 18 09:05:30 GMT 2024","Mon Nov 18 09:05:30 GMT 2024","288","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"broken","Mon Nov 18 09:05:30 GMT 2024","Mon Nov 18 09:05:30 GMT 2024","333","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"broken","Mon Nov 18 09:05:28 GMT 2024","Mon Nov 18 09:05:29 GMT 2024","284","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
