"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 05 09:04:16 GMT 2024","Thu Sep 05 09:04:26 GMT 2024","9996","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Thu Sep 05 09:04:35 GMT 2024","Thu Sep 05 09:04:38 GMT 2024","3028","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Thu Sep 05 09:04:40 GMT 2024","Thu Sep 05 09:04:43 GMT 2024","2198","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Thu Sep 05 09:04:26 GMT 2024","Thu Sep 05 09:04:28 GMT 2024","1134","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Thu Sep 05 09:04:38 GMT 2024","Thu Sep 05 09:04:40 GMT 2024","2643","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Thu Sep 05 09:04:28 GMT 2024","Thu Sep 05 09:04:31 GMT 2024","3535","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Thu Sep 05 09:04:32 GMT 2024","Thu Sep 05 09:04:35 GMT 2024","2282","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Thu Sep 05 09:04:43 GMT 2024","Thu Sep 05 09:04:46 GMT 2024","3491","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Thu Sep 05 09:04:31 GMT 2024","Thu Sep 05 09:04:32 GMT 2024","1393","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
