"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jun 02 00:07:37 GMT 2025","Mon Jun 02 00:07:44 GMT 2025","7233","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Mon Jun 02 00:07:25 GMT 2025","Mon Jun 02 00:07:28 GMT 2025","3568","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Mon Jun 02 00:07:21 GMT 2025","Mon Jun 02 00:07:23 GMT 2025","2652","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Mon Jun 02 00:07:28 GMT 2025","Mon Jun 02 00:07:30 GMT 2025","1481","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Mon Jun 02 00:07:46 GMT 2025","Mon Jun 02 00:07:49 GMT 2025","2326","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"broken","Mon Jun 02 00:07:44 GMT 2025","Mon Jun 02 00:07:46 GMT 2025","2041","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"broken","Mon Jun 02 00:07:30 GMT 2025","Mon Jun 02 00:07:37 GMT 2025","7247","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"broken","Mon Jun 02 00:07:49 GMT 2025","Mon Jun 02 00:07:56 GMT 2025","7203","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Mon Jun 02 00:07:24 GMT 2025","Mon Jun 02 00:07:25 GMT 2025","1293","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
