"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 16 09:06:46 GMT 2025","Mon Jun 16 09:06:49 GMT 2025","2876","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Mon Jun 16 09:06:38 GMT 2025","Mon Jun 16 09:06:40 GMT 2025","1916","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Mon Jun 16 09:06:37 GMT 2025","Mon Jun 16 09:06:38 GMT 2025","1274","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Mon Jun 16 09:06:33 GMT 2025","Mon Jun 16 09:06:37 GMT 2025","3266","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Mon Jun 16 09:06:16 GMT 2025","Mon Jun 16 09:06:32 GMT 2025","15596","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Mon Jun 16 09:06:45 GMT 2025","Mon Jun 16 09:06:46 GMT 2025","1744","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Mon Jun 16 09:06:42 GMT 2025","Mon Jun 16 09:06:45 GMT 2025","2127","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Mon Jun 16 09:06:32 GMT 2025","Mon Jun 16 09:06:33 GMT 2025","1082","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Mon Jun 16 09:06:40 GMT 2025","Mon Jun 16 09:06:42 GMT 2025","2732","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
