"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 22 09:06:35 GMT 2025","Mon Sep 22 09:06:38 GMT 2025","2260","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Mon Sep 22 09:06:16 GMT 2025","Mon Sep 22 09:06:25 GMT 2025","8804","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Mon Sep 22 09:06:38 GMT 2025","Mon Sep 22 09:06:39 GMT 2025","1849","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Mon Sep 22 09:06:29 GMT 2025","Mon Sep 22 09:06:31 GMT 2025","1375","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Mon Sep 22 09:06:39 GMT 2025","Mon Sep 22 09:06:42 GMT 2025","2705","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Mon Sep 22 09:06:33 GMT 2025","Mon Sep 22 09:06:35 GMT 2025","2512","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Mon Sep 22 09:06:26 GMT 2025","Mon Sep 22 09:06:29 GMT 2025","3186","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Mon Sep 22 09:06:31 GMT 2025","Mon Sep 22 09:06:33 GMT 2025","1860","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Mon Sep 22 09:06:25 GMT 2025","Mon Sep 22 09:06:26 GMT 2025","1185","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
