"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the error messages for a correct user and wrong password","1077","Login wrong password test","","Mon May 18 10:34:42 UTC 2026","passed","Mon May 18 10:34:43 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
"Verification of the inventory filter issues","3234","Inventory filter issues test","","Mon May 18 10:34:43 UTC 2026","passed","Mon May 18 10:34:47 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"Verification of the persistence of the items cart ","1851","Cart items persistence test","","Mon May 18 10:34:48 UTC 2026","passed","Mon May 18 10:34:50 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"Verification of the error messages for a blocked user","3032","Login locked out user test","","Mon May 18 10:34:39 UTC 2026","passed","Mon May 18 10:34:42 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the inventory order options","1913","Order inventory items test","","Mon May 18 10:34:54 UTC 2026","passed","Mon May 18 10:34:56 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"A complete shopping flow","7422","Buy items test","","Mon May 18 10:34:56 UTC 2026","broken","Mon May 18 10:35:04 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
"Verification of the user information before checkout","2411","Verify checkout user data test","","Mon May 18 10:34:50 UTC 2026","passed","Mon May 18 10:34:52 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the visual error of the inventory using a problem user","1257","Inventory items with src issues test","","Mon May 18 10:34:47 UTC 2026","passed","Mon May 18 10:34:48 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
"Verification of the number of items into the cart ","2143","Remove cart items test","","Mon May 18 10:34:52 UTC 2026","passed","Mon May 18 10:34:54 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
