"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 24 09:07:34 GMT 2025","Thu Jul 24 09:07:36 GMT 2025","1294","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Thu Jul 24 09:07:44 GMT 2025","Thu Jul 24 09:07:47 GMT 2025","2810","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Thu Jul 24 09:07:38 GMT 2025","Thu Jul 24 09:07:40 GMT 2025","2615","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Thu Jul 24 09:07:30 GMT 2025","Thu Jul 24 09:07:31 GMT 2025","1139","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Thu Jul 24 09:07:42 GMT 2025","Thu Jul 24 09:07:44 GMT 2025","1762","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Thu Jul 24 09:07:40 GMT 2025","Thu Jul 24 09:07:42 GMT 2025","2226","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Thu Jul 24 09:07:31 GMT 2025","Thu Jul 24 09:07:34 GMT 2025","3293","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Thu Jul 24 09:07:17 GMT 2025","Thu Jul 24 09:07:30 GMT 2025","13025","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Thu Jul 24 09:07:36 GMT 2025","Thu Jul 24 09:07:38 GMT 2025","1848","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
