"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 29 09:04:46 GMT 2024","Thu Aug 29 09:04:49 GMT 2024","3279","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Thu Aug 29 09:04:34 GMT 2024","Thu Aug 29 09:04:37 GMT 2024","3166","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Thu Aug 29 09:04:38 GMT 2024","Thu Aug 29 09:04:42 GMT 2024","3524","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Thu Aug 29 09:04:52 GMT 2024","Thu Aug 29 09:04:54 GMT 2024","2403","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Thu Aug 29 09:04:42 GMT 2024","Thu Aug 29 09:04:43 GMT 2024","1411","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Thu Aug 29 09:04:43 GMT 2024","Thu Aug 29 09:04:46 GMT 2024","2306","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Thu Aug 29 09:04:37 GMT 2024","Thu Aug 29 09:04:38 GMT 2024","1260","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Thu Aug 29 09:04:49 GMT 2024","Thu Aug 29 09:04:52 GMT 2024","2923","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Thu Aug 29 09:04:54 GMT 2024","Thu Aug 29 09:04:58 GMT 2024","3453","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
