"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 07 09:05:01 GMT 2025","Mon Apr 07 09:05:02 GMT 2025","1269","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Mon Apr 07 09:05:16 GMT 2025","Mon Apr 07 09:05:18 GMT 2025","2268","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Mon Apr 07 09:04:58 GMT 2025","Mon Apr 07 09:05:01 GMT 2025","2587","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Mon Apr 07 09:05:18 GMT 2025","Mon Apr 07 09:05:22 GMT 2025","3698","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Mon Apr 07 09:05:07 GMT 2025","Mon Apr 07 09:05:10 GMT 2025","2382","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Mon Apr 07 09:05:02 GMT 2025","Mon Apr 07 09:05:06 GMT 2025","3409","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Mon Apr 07 09:05:13 GMT 2025","Mon Apr 07 09:05:16 GMT 2025","2886","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Mon Apr 07 09:05:06 GMT 2025","Mon Apr 07 09:05:07 GMT 2025","1481","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Mon Apr 07 09:05:10 GMT 2025","Mon Apr 07 09:05:13 GMT 2025","3195","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
