"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 11 09:05:19 GMT 2025","Thu Sep 11 09:05:22 GMT 2025","3588","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Thu Sep 11 09:05:24 GMT 2025","Thu Sep 11 09:05:26 GMT 2025","2028","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Thu Sep 11 09:05:26 GMT 2025","Thu Sep 11 09:05:29 GMT 2025","2916","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Thu Sep 11 09:04:57 GMT 2025","Thu Sep 11 09:05:18 GMT 2025","20410","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Thu Sep 11 09:05:33 GMT 2025","Thu Sep 11 09:05:36 GMT 2025","2914","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Thu Sep 11 09:05:18 GMT 2025","Thu Sep 11 09:05:19 GMT 2025","1075","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Thu Sep 11 09:05:29 GMT 2025","Thu Sep 11 09:05:31 GMT 2025","2371","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Thu Sep 11 09:05:31 GMT 2025","Thu Sep 11 09:05:33 GMT 2025","1923","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Thu Sep 11 09:05:22 GMT 2025","Thu Sep 11 09:05:24 GMT 2025","1306","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
