"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 06 09:04:49 GMT 2025","Thu Feb 06 09:04:53 GMT 2025","3263","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Thu Feb 06 09:04:56 GMT 2025","Thu Feb 06 09:04:58 GMT 2025","2212","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Thu Feb 06 09:04:58 GMT 2025","Thu Feb 06 09:05:01 GMT 2025","3645","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Thu Feb 06 09:04:42 GMT 2025","Thu Feb 06 09:04:46 GMT 2025","3460","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Thu Feb 06 09:04:53 GMT 2025","Thu Feb 06 09:04:56 GMT 2025","2842","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Thu Feb 06 09:04:41 GMT 2025","Thu Feb 06 09:04:42 GMT 2025","1202","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Thu Feb 06 09:04:47 GMT 2025","Thu Feb 06 09:04:49 GMT 2025","2368","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Thu Feb 06 09:04:28 GMT 2025","Thu Feb 06 09:04:41 GMT 2025","12556","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Thu Feb 06 09:04:46 GMT 2025","Thu Feb 06 09:04:47 GMT 2025","1446","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
