"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 01 23:28:45 GMT 2025","Sun Jun 01 23:28:47 GMT 2025","2180","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Sun Jun 01 23:28:29 GMT 2025","Sun Jun 01 23:28:30 GMT 2025","1580","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"broken","Sun Jun 01 23:28:50 GMT 2025","Sun Jun 01 23:28:57 GMT 2025","7324","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Sun Jun 01 23:28:25 GMT 2025","Sun Jun 01 23:28:29 GMT 2025","3815","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"broken","Sun Jun 01 23:28:37 GMT 2025","Sun Jun 01 23:28:45 GMT 2025","7348","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Sun Jun 01 23:28:47 GMT 2025","Sun Jun 01 23:28:50 GMT 2025","2546","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Sun Jun 01 23:28:23 GMT 2025","Sun Jun 01 23:28:25 GMT 2025","1377","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Sun Jun 01 23:28:15 GMT 2025","Sun Jun 01 23:28:23 GMT 2025","7816","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"broken","Sun Jun 01 23:28:30 GMT 2025","Sun Jun 01 23:28:37 GMT 2025","7367","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
