"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 02 01:11:13 GMT 2025","Mon Jun 02 01:11:21 GMT 2025","8291","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Mon Jun 02 01:11:23 GMT 2025","Mon Jun 02 01:11:27 GMT 2025","3858","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"broken","Mon Jun 02 01:11:47 GMT 2025","Mon Jun 02 01:11:54 GMT 2025","7207","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Mon Jun 02 01:11:45 GMT 2025","Mon Jun 02 01:11:47 GMT 2025","2398","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Mon Jun 02 01:11:27 GMT 2025","Mon Jun 02 01:11:28 GMT 2025","1516","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"broken","Mon Jun 02 01:11:43 GMT 2025","Mon Jun 02 01:11:45 GMT 2025","2046","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"broken","Mon Jun 02 01:11:35 GMT 2025","Mon Jun 02 01:11:43 GMT 2025","7192","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"broken","Mon Jun 02 01:11:28 GMT 2025","Mon Jun 02 01:11:35 GMT 2025","7338","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Mon Jun 02 01:11:21 GMT 2025","Mon Jun 02 01:11:23 GMT 2025","1360","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
