"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 09:05:21 GMT 2024","Thu Nov 28 09:05:23 GMT 2024","2161","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Thu Nov 28 09:05:14 GMT 2024","Thu Nov 28 09:05:18 GMT 2024","3395","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Thu Nov 28 09:05:12 GMT 2024","Thu Nov 28 09:05:14 GMT 2024","2404","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Thu Nov 28 09:04:55 GMT 2024","Thu Nov 28 09:05:06 GMT 2024","10791","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Thu Nov 28 09:05:11 GMT 2024","Thu Nov 28 09:05:12 GMT 2024","1377","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Thu Nov 28 09:05:07 GMT 2024","Thu Nov 28 09:05:11 GMT 2024","3593","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Thu Nov 28 09:05:06 GMT 2024","Thu Nov 28 09:05:07 GMT 2024","1209","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Thu Nov 28 09:05:18 GMT 2024","Thu Nov 28 09:05:21 GMT 2024","2809","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Thu Nov 28 09:05:23 GMT 2024","Thu Nov 28 09:05:26 GMT 2024","3594","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
