"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 30 09:04:59 GMT 2024","Mon Dec 30 09:05:01 GMT 2024","2875","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Mon Dec 30 09:04:55 GMT 2024","Mon Dec 30 09:04:59 GMT 2024","3211","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Mon Dec 30 09:05:04 GMT 2024","Mon Dec 30 09:05:07 GMT 2024","3649","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Mon Dec 30 09:04:43 GMT 2024","Mon Dec 30 09:04:47 GMT 2024","3556","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Mon Dec 30 09:04:48 GMT 2024","Mon Dec 30 09:04:51 GMT 2024","3311","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Mon Dec 30 09:04:51 GMT 2024","Mon Dec 30 09:04:53 GMT 2024","1425","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Mon Dec 30 09:05:01 GMT 2024","Mon Dec 30 09:05:04 GMT 2024","2237","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Mon Dec 30 09:04:53 GMT 2024","Mon Dec 30 09:04:55 GMT 2024","2440","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
"passed","Mon Dec 30 09:04:47 GMT 2024","Mon Dec 30 09:04:48 GMT 2024","1198","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
