"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the number of items into the cart ","2226","Remove cart items test","","2026-06-08","passed","2026-06-08","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
"A complete shopping flow","7437","Buy items test","","2026-06-08","broken","2026-06-08","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
"Verification of the inventory filter issues","3381","Inventory filter issues test","","2026-06-08","passed","2026-06-08","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"Verification of the user information before checkout","2480","Verify checkout user data test","","2026-06-08","passed","2026-06-08","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the visual error of the inventory using a problem user","1251","Inventory items with src issues test","","2026-06-08","passed","2026-06-08","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
"Verification of the persistence of the items cart ","1807","Cart items persistence test","","2026-06-08","passed","2026-06-08","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"Verification of the error messages for a correct user and wrong password","1170","Login wrong password test","","2026-06-08","passed","2026-06-08","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
"Verification of the inventory order options","1899","Order inventory items test","","2026-06-08","passed","2026-06-08","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"Verification of the error messages for a blocked user","10101","Login locked out user test","","2026-06-08","passed","2026-06-08","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
