"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the user information before checkout","343","Verify checkout user data test","","Sun Mar 01 21:08:03 UTC 2026","broken","Sun Mar 01 21:08:04 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the visual error of the inventory using a problem user","348","Inventory items with src issues test","","Sun Mar 01 21:08:03 UTC 2026","broken","Sun Mar 01 21:08:03 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
"Verification of the inventory order options","302","Order inventory items test","","Sun Mar 01 21:08:04 UTC 2026","broken","Sun Mar 01 21:08:04 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"Verification of the error messages for a blocked user","4921","Login locked out user test","","Sun Mar 01 21:07:57 UTC 2026","broken","Sun Mar 01 21:08:02 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the persistence of the items cart ","314","Cart items persistence test","","Sun Mar 01 21:08:03 UTC 2026","broken","Sun Mar 01 21:08:03 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"Verification of the number of items into the cart ","297","Remove cart items test","","Sun Mar 01 21:08:04 UTC 2026","broken","Sun Mar 01 21:08:04 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
"Verification of the inventory filter issues","291","Inventory filter issues test","","Sun Mar 01 21:08:02 UTC 2026","broken","Sun Mar 01 21:08:03 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"A complete shopping flow","308","Buy items test","","Sun Mar 01 21:08:04 UTC 2026","broken","Sun Mar 01 21:08:05 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
"Verification of the error messages for a correct user and wrong password","321","Login wrong password test","","Sun Mar 01 21:08:02 UTC 2026","broken","Sun Mar 01 21:08:02 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
