"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the user information before checkout","2483","Verify checkout user data test","","Thu May 21 10:20:13 UTC 2026","passed","Thu May 21 10:20:16 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the visual error of the inventory using a problem user","1236","Inventory items with src issues test","","Thu May 21 10:20:10 UTC 2026","passed","Thu May 21 10:20:11 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
"A complete shopping flow","2673","Buy items test","","Thu May 21 10:20:20 UTC 2026","passed","Thu May 21 10:20:22 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
"Verification of the error messages for a correct user and wrong password","1052","Login wrong password test","","Thu May 21 10:20:06 UTC 2026","passed","Thu May 21 10:20:07 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
"Verification of the persistence of the items cart ","1833","Cart items persistence test","","Thu May 21 10:20:11 UTC 2026","passed","Thu May 21 10:20:13 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"Verification of the error messages for a blocked user","7498","Login locked out user test","","Thu May 21 10:19:58 UTC 2026","passed","Thu May 21 10:20:06 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the inventory filter issues","3304","Inventory filter issues test","","Thu May 21 10:20:07 UTC 2026","passed","Thu May 21 10:20:10 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"Verification of the inventory order options","1864","Order inventory items test","","Thu May 21 10:20:18 UTC 2026","passed","Thu May 21 10:20:20 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"Verification of the number of items into the cart ","2173","Remove cart items test","","Thu May 21 10:20:16 UTC 2026","passed","Thu May 21 10:20:18 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
