"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the user information before checkout","2315","Verify checkout user data test","","2026-08-06","passed","2026-08-06","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the number of items into the cart ","2092","Remove cart items test","","2026-08-06","passed","2026-08-06","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
"Verification of the error messages for a correct user and wrong password","1085","Login wrong password test","","2026-08-06","passed","2026-08-06","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
"Verification of the persistence of the items cart ","1752","Cart items persistence test","","2026-08-06","passed","2026-08-06","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"Verification of the error messages for a blocked user","7520","Login locked out user test","","2026-08-06","passed","2026-08-06","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the inventory order options","1813","Order inventory items test","","2026-08-06","passed","2026-08-06","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"Verification of the visual error of the inventory using a problem user","1232","Inventory items with src issues test","","2026-08-06","passed","2026-08-06","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
"Verification of the inventory filter issues","3025","Inventory filter issues test","","2026-08-06","passed","2026-08-06","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"A complete shopping flow","3110","Buy items test","","2026-08-06","passed","2026-08-06","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
