"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 09:04:48 GMT 2024","Thu Oct 10 09:04:50 GMT 2024","2995","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest","Verify checkout user data test","Verification of the user information before checkout"
"passed","Thu Oct 10 09:04:44 GMT 2024","Thu Oct 10 09:04:45 GMT 2024","1416","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest","Inventory items with src issues test","Verification of the visual error of the inventory using a problem user"
"passed","Thu Oct 10 09:04:39 GMT 2024","Thu Oct 10 09:04:40 GMT 2024","1161","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest","Login wrong password test","Verification of the error messages for a correct user and wrong password"
"passed","Thu Oct 10 09:04:32 GMT 2024","Thu Oct 10 09:04:39 GMT 2024","6777","","Locked Out User","","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest","Login locked out user test","Verification of the error messages for a blocked user"
"passed","Thu Oct 10 09:04:51 GMT 2024","Thu Oct 10 09:04:53 GMT 2024","2643","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest","Remove cart items test","Verification of the number of items into the cart "
"passed","Thu Oct 10 09:04:53 GMT 2024","Thu Oct 10 09:04:55 GMT 2024","2158","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest","Order inventory items test","Verification of the inventory order options"
"passed","Thu Oct 10 09:04:55 GMT 2024","Thu Oct 10 09:04:59 GMT 2024","3401","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest","Buy items test","A complete shopping flow"
"passed","Thu Oct 10 09:04:40 GMT 2024","Thu Oct 10 09:04:44 GMT 2024","3462","","Problem User","","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest","Inventory filter issues test","Verification of the inventory filter issues"
"passed","Thu Oct 10 09:04:45 GMT 2024","Thu Oct 10 09:04:47 GMT 2024","2264","","Standard User","","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest","Cart items persistence test","Verification of the persistence of the items cart "
