"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the visual error of the inventory using a problem user","1296","Inventory items with src issues test","","2026-07-09","passed","2026-07-09","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
"Verification of the user information before checkout","2599","Verify checkout user data test","","2026-07-09","passed","2026-07-09","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the number of items into the cart ","2173","Remove cart items test","","2026-07-09","passed","2026-07-09","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
"Verification of the persistence of the items cart ","1962","Cart items persistence test","","2026-07-09","passed","2026-07-09","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"Verification of the error messages for a blocked user","11742","Login locked out user test","","2026-07-09","passed","2026-07-09","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the inventory filter issues","3530","Inventory filter issues test","","2026-07-09","passed","2026-07-09","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"Verification of the inventory order options","1981","Order inventory items test","","2026-07-09","passed","2026-07-09","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"A complete shopping flow","7592","Buy items test","","2026-07-09","broken","2026-07-09","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
"Verification of the error messages for a correct user and wrong password","1129","Login wrong password test","","2026-07-09","passed","2026-07-09","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
