"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verification of the error messages for a blocked user","5142","Login locked out user test","","Mon Apr 13 09:42:21 UTC 2026","passed","Mon Apr 13 09:42:26 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","lockedOutUserTest"
"Verification of the inventory order options","1863","Order inventory items test","","Mon Apr 13 09:42:38 UTC 2026","passed","Mon Apr 13 09:42:40 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","orderInventoryItemsTest"
"Verification of the number of items into the cart ","2205","Remove cart items test","","Mon Apr 13 09:42:36 UTC 2026","passed","Mon Apr 13 09:42:38 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","removeCartItemsTest"
"Verification of the user information before checkout","2432","Verify checkout user data test","","Mon Apr 13 09:42:33 UTC 2026","passed","Mon Apr 13 09:42:36 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","verifyCheckoutUserDataTest"
"Verification of the persistence of the items cart ","1887","Cart items persistence test","","Mon Apr 13 09:42:31 UTC 2026","passed","Mon Apr 13 09:42:33 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","cartItemsPersistenceTest"
"A complete shopping flow","2626","Buy items test","","Mon Apr 13 09:42:40 UTC 2026","passed","Mon Apr 13 09:42:42 UTC 2026","","Standard User","com.github.eataborda.ui.features.StandardUserTest","buyItemsTest"
"Verification of the inventory filter issues","3173","Inventory filter issues test","","Mon Apr 13 09:42:27 UTC 2026","passed","Mon Apr 13 09:42:30 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryFilterIssuesTest"
"Verification of the error messages for a correct user and wrong password","1120","Login wrong password test","","Mon Apr 13 09:42:26 UTC 2026","passed","Mon Apr 13 09:42:27 UTC 2026","","Locked Out User","com.github.eataborda.ui.features.LockedOutUserTest","wrongPasswordTest"
"Verification of the visual error of the inventory using a problem user","1233","Inventory items with src issues test","","Mon Apr 13 09:42:30 UTC 2026","passed","Mon Apr 13 09:42:31 UTC 2026","","Problem User","com.github.eataborda.ui.features.ProblemUserTest","inventoryItemsWithIssuesTest"
